Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Benahavís,Municipio,Málaga,1.276,1.333,1.513,5.053,7.989
Benalauría,Municipio,Málaga,624,526,508,510,443
Benalmádena,Municipio,Málaga,13.622,21.994,34.565,61.394,67.746
Benalúa,Municipio,Granada,3.250,3.441,3.196,3.348,3.285
Benalúa de las Villas,Municipio,Granada,1.357,1.392,1.352,1.353,1.065
Benalup-Casas Viejas,Municipio,Cádiz,4.794,5.352,6.573,7.223,6.969
Benamargosa,Municipio,Málaga,2.019,1.654,1.517,1.565,1.496
Benamaurel,Municipio,Granada,2.809,2.496,2.383,2.422,2.297
Benamejí,Municipio,Córdoba,4.590,4.540,4.914,5.129,4.975
Benamocarra,Municipio,Málaga,2.643,2.789,2.825,3.066,2.999
Benaocaz,Municipio,Cádiz,624,528,656,737,680
Benaoján,Municipio,Málaga,1.781,1.642,1.588,1.533,1.488
Benarrabá,Municipio,Málaga,803,709,522,558,458
Benatae,Municipio,Jaén,792,608,550,550,457
Benitagla,Municipio,Almería,129,117,82,75,68
Benizalón,Municipio,Almería,569,346,301,289,248
Bentarique,Municipio,Almería,339,365,293,277,243
Bérchules,Municipio,Granada,1.625,881,754,811,719
Berja (→ 2015: Balanegra),Municipio,Almería,11.529,12.054,13.312,15.155,12.381
Berrocal,Municipio,Huelva,466,422,371,344,319
Bollullos de la Mitación,Municipio,Sevilla,4.046,6.031,5.224,9.709,10.647
Bollullos Par del Condado,Municipio,Huelva,11.924,12.575,12.975,14.125,14.114
Bonares,Municipio,Huelva,4.822,4.949,5.163,6.165,6.060
Bormujos,Municipio,Sevilla,4.646,5.277,11.958,20.200,21.964
Bornos,Municipio,Cádiz,7.649,7.867,7.918,8.107,7.750
Brenes,Municipio,Sevilla,8.922,10.314,10.795,12.773,12.608
Bubión,Municipio,Granada,353,345,357,345,302
Bujalance,Municipio,Córdoba,8.741,8.487,8.000,7.879,7.537
Burguillos,Municipio,Sevilla,2.800,3.180,3.690,6.413,6.618
Busquístar,Municipio,Granada,596,457,381,328,279
Cabezas Rubias,Municipio,Huelva,987,969,925,827,741
Cabra,Municipio,Córdoba,20.073,20.306,20.598,21.085,20.417
Cabra del Santo Cristo,Municipio,Jaén,2.895,2.311,2.244,2.027,1.840
Cacín,Municipio,Granada,927,882,736,605,578
Cádiar,Municipio,Granada,2.336,2.057,1.676,1.618,1.469
Cádiz,Municipio,Cádiz,156.711,154.347,133.363,124.014,116.979
Cájar,Municipio,Granada,1.390,2.222,3.536,4.781,5.070
Cala,Municipio,Huelva,1.502,1.484,1.387,1.298,1.184
Calañas,Municipio,Huelva,5.446,5.093,4.647,4.145,4.077
Calicasas,Municipio,Granada,543,598,576,596,609
Camas,Municipio,Sevilla,25.574,25.501,24.966,26.433,27.463
Cambil,Municipio,Jaén,4.030,3.536,2.979,2.888,2.739
Campillo de Arenas,Municipio,Jaén,2.464,2.279,2.140,2.026,1.784
Campillos,Municipio,Málaga,7.221,7.551,7.707,8.635,8.517
Campofrío,Municipio,Huelva,882,908,840,798,702
Campotéjar,Municipio,Granada,1.411,1.450,1.423,1.357,1.253
Cañada Rosal,Municipio,Sevilla,2.376,2.842,3.023,3.270,3.307
Cáñar,Municipio,Granada,574,346,316,424,343
Cañaveral de León,Municipio,Huelva,624,586,481,461,411
Canena,Municipio,Jaén,2.088,2.063,2.097,2.089,1.882
Cañete de las Torres,Municipio,Córdoba,3.457,3.457,3.274,3.141,2.969
Cañete la Real,Municipio,Málaga,2.374,2.341,2.178,1.949,1.691
Caniles,Municipio,Granada,6.472,5.181,4.817,4.691,4.060
Canillas de Aceituno,Municipio,Málaga,2.509,2.793,2.107,1.873,1.620
Canillas de Albaida,Municipio,Málaga,587,637,726,900,732
Canjáyar,Municipio,Almería,2.375,1.826,1.586,1.439,1.202
Cantillana,Municipio,Sevilla,8.513,8.788,8.934,10.800,10.661
Cantoria,Municipio,Almería,3.530,3.309,3.206,3.849,3.228
Capileira,Municipio,Granada,712,577,557,554,558
Carataunas,Municipio,Granada,164,215,193,183,178
Carboneras,Municipio,Almería,4.102,5.703,6.823,7.881,7.757
Carboneros,Municipio,Jaén,892,715,674,665,606
Carcabuey,Municipio,Córdoba,3.007,2.945,2.805,2.666,2.454
Cárcheles,Municipio,Jaén,1.675,1.622,1.460,1.492,1.373
Cardeña,Municipio,Córdoba,2.235,2.147,1.795,1.662,1.503
Carmona,Municipio,Sevilla,22.887,23.617,25.794,28.817,28.620
Carratraca,Municipio,Málaga,1.015,819,835,840,748
Carrión de los Céspedes,Municipio,Sevilla,2.511,2.373,2.320,2.540,2.500
Cartajima,Municipio,Málaga,373,358,238,255,247
Cártama,Municipio,Málaga,10.724,11.054,14.139,23.225,25.758
Cartaya,Municipio,Huelva,9.098,10.357,13.511,18.775,19.433
